Old	New
MainBranch	Developer_Description
Employment	Employment_Status
RemoteWork	Remote_vs_Onsite
CodingActivities	Outofwork_Coding
EdLevel	Education_Level
LearnCode	Learn_Code_Method
LearnCodeOnline	Learn_Code_Source
LearnCodeCoursesCert	Code_Certifications
YearsCode	Coding_Experience
YearsCodePro	Pro_Experience
BuyNewTool	Purchase_Research
CompTotal	Total_Salary
CompFreq	Salary_Frequency
OfficeStackAsyncHaveWorkedWith	Proj_Mgmt_HVWorkedWith
OfficeStackAsyncWantToWorkWith	Proj_Mgmt_WantToWorkWith
OfficeStackSyncHaveWorkedWith	Proj_Mgmt_SyncHaveWorkedWith
OfficeStackSyncWantToWorkWith	Proj_Mgmt_SyncWantToWorkWith
Blockchain	Blockchain_Sentiment
NEWSOSites	New_Stack_Overfl_Sites
SOAccount	SOAccount_Ownership
SOPartFreq	SOA_ParticipationFreq
SOComm	Belong_SO_Comm
Accessibility	Disability
TBranch	Participation_PDS
ICorPM	Contributor_or_Manager
Knowledge_1	Extroverted
Knowledge_2	Siloed_Teams
Knowledge_3	Information_Availability
Knowledge_4	Well_Resourced
Knowledge_5	Info_Answ_Resource
Knowledge_6	Recurring_Responses
Knowledge_7	Workflow_Interruptions
Frequency_1	External_Team_Assistance
Frequency_2	External_Team_Interaction
Frequency_3	Knowledge_Silos
TimeSearching	TimeSearching_Answers
Onboarding	Onboarding_Duration
TrueFalse_1	Is_Involved_Onboarding
TrueFalse_2	Employer_Learning_Resources
TrueFalse_3	Learning_Support
ConvertedCompYearly	Annual_Salary
OpSysProfessional use	OpSysProfessional_use
OpSysPersonal use	OpSysPersonal_use
